,pred_list,terms,count
23,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4","[BK,getStripe,I]",3036
24,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8","[BK,[mulnn,2],getStripe]",1020
25,"0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0","[CB,[B,subnn,getDot],[B,I,I]]",161
26,"6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0","[BB,[mulnn,2],[BK,[subnn,3],getDot]]",201
27,"9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0,9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0,9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0,9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0,9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0","[BB,[mulnn,3],[BK,[subnn,3],getDot]]",219
28,"12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0,12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0,12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0,12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0,12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0","[BB,[mulnn,4],[BK,[subnn,3],getDot]]",155
29,"0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0","[SB,[B,mulnn,getDot],[BK,[subnn,3],getDot]]",62
30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","[CK,[B,subnn,getDot],3]",311
31,"0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3","[CK,[B,subnn,getDot],1]",229
32,"2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0","[KB,[subnn,3],[B,I,I]]",642
33,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BK,[subnn,1],getStripe]",582
34,"3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0","[KB,[subnn,4],[B,I,I]]",706
35,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5","[BK,[addnn,1],getDot]",582
36,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BK,[subnn,2],getStripe]",453
37,"3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0","[BS,[B,mulnn,[B,I,I]],[BK,[subnn,3],getDot]]",730
38,"0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[SK,[B,subnn,getDot],getStripe]",104
39,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BK,[subnn,3],getStripe]",383
40,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5","[BK,[addnn,1],getStripe]",466
41,"0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3","[KC,[B,subnn,[B,I,I]],1]",109
42,"0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2","[KC,[B,subnn,[B,I,I]],2]",85
43,"0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1","[KC,[B,subnn,[B,I,I]],3]",206
44,"0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8","[SK,[B,addnn,getDot],getStripe]",330
45,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","[CK,[B,subnn,getStripe],1]",202
46,"1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BC,[B,subnn,[B,I,I]],getStripe]",115
